epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2542.08,1.33772,1.60085,1.26349,0.65017,0.59437,0.5855,0.385,1.29983,1.5044,1.16877,0.000663025,0.000663025,0.000663025
43,2620.64,1.42258,1.65455,1.29159,0.68491,0.54071,0.5749,0.39057,1.2618,1.47634,1.14322,0.000657025,0.000657025,0.000657025
44,2704.14,1.37977,1.67487,1.26877,0.67948,0.49676,0.54965,0.3587,1.30664,1.51393,1.15269,0.000651026,0.000651026,0.000651026
45,2833.83,1.41469,1.64556,1.30391,0.71498,0.50551,0.56315,0.34664,1.35547,1.55173,1.14476,0.000645026,0.000645026,0.000645026
46,2900.59,1.36126,1.67496,1.31373,0.69243,0.54372,0.58121,0.35107,1.42187,1.55998,1.15454,0.000639027,0.000639027,0.000639027
47,2962.56,1.39526,1.63195,1.28008,0.69225,0.5254,0.59639,0.37328,1.39242,1.51485,1.13864,0.000633028,0.000633028,0.000633028
48,3022.86,1.32724,1.52317,1.24502,0.7428,0.60245,0.59244,0.38585,1.33217,1.46921,1.1172,0.000627028,0.000627028,0.000627028
49,3085.97,1.25076,1.41834,1.23915,0.71568,0.60753,0.59429,0.38928,1.29206,1.45565,1.10715,0.000621029,0.000621029,0.000621029
50,3148.84,1.35944,1.63149,1.24459,0.62798,0.59866,0.57633,0.39506,1.2078,1.43914,1.05972,0.000615029,0.000615029,0.000615029
51,3216.65,1.44768,1.76929,1.31835,0.61751,0.62644,0.57346,0.3926,1.2174,1.43899,1.06238,0.00060903,0.00060903,0.00060903
52,3280.18,1.27865,1.48788,1.25414,0.77009,0.44636,0.54718,0.36876,1.26607,1.4235,1.07673,0.000603031,0.000603031,0.000603031
53,3342.77,1.33565,1.60425,1.23468,0.67479,0.57213,0.58431,0.35803,1.35497,1.40401,1.12233,0.000597031,0.000597031,0.000597031
54,3405.4,1.29831,1.52495,1.27857,0.72124,0.57907,0.61231,0.38847,1.27404,1.35132,1.09732,0.000591032,0.000591032,0.000591032
55,3466.47,1.29471,1.48473,1.25112,0.71472,0.5862,0.62141,0.4035,1.21714,1.34956,1.07453,0.000585032,0.000585032,0.000585032
56,3543.07,1.49816,1.82567,1.35469,0.78978,0.63015,0.66176,0.42492,1.2634,1.30938,1.08971,0.000579033,0.000579033,0.000579033
57,3601.06,1.30107,1.4858,1.24416,0.86969,0.55911,0.64418,0.42443,1.33897,1.32832,1.11279,0.000573034,0.000573034,0.000573034
58,3658.2,1.383,1.55602,1.23401,0.91139,0.56605,0.6571,0.43829,1.26733,1.2685,1.08855,0.000567034,0.000567034,0.000567034
59,3715.97,1.31037,1.54525,1.23708,0.89473,0.50728,0.63477,0.43357,1.24997,1.28156,1.09528,0.000561035,0.000561035,0.000561035
60,3774.31,1.33445,1.50509,1.2237,0.89703,0.5614,0.63152,0.43323,1.24231,1.3067,1.09686,0.000555035,0.000555035,0.000555035
61,3834.35,1.43738,1.60032,1.32218,0.72672,0.63004,0.61043,0.41257,1.28656,1.34639,1.11217,0.000549036,0.000549036,0.000549036
62,3892.03,1.29628,1.40559,1.19925,0.71974,0.62199,0.62189,0.4226,1.24644,1.36518,1.09916,0.000543037,0.000543037,0.000543037
63,3949.59,1.23085,1.37143,1.18095,0.75349,0.63313,0.63208,0.43511,1.20238,1.35649,1.07867,0.000537037,0.000537037,0.000537037
64,4007.46,1.27945,1.43397,1.23518,0.7542,0.6048,0.62973,0.43343,1.20161,1.28047,1.08876,0.000531038,0.000531038,0.000531038
65,4065.4,1.353,1.4536,1.27433,0.74381,0.60103,0.6001,0.41038,1.23731,1.28164,1.09745,0.000525038,0.000525038,0.000525038
66,4123.21,1.25379,1.35136,1.20356,0.79842,0.54416,0.5898,0.40666,1.25848,1.26116,1.11997,0.000519039,0.000519039,0.000519039
